acc_mean_x_right,acc_mean_y_right,acc_mean_z_right,acc_mean_xyz_right,acc_mean_xy_right,acc_mean_yz_right,acc_mean_zx_right,acc_mean_pitch_right,acc_mean_roll_right,acc_std_x_right,acc_std_y_right,acc_std_z_right,acc_std_xyz_right,acc_std_xy_right,acc_std_yz_right,acc_std_zx_right,acc_std_pitch_right,acc_std_roll_right,acc_auc_x_right,acc_auc_y_right,acc_auc_z_right,acc_auc_xyz_right,acc_auc_xy_right,acc_auc_yz_right,acc_auc_zx_right,acc_auc_pitch_right,acc_auc_roll_right,acc_max_x_right,acc_max_y_right,acc_max_z_right,acc_max_xyz_right,acc_max_xy_right,acc_max_yz_right,acc_max_zx_right,acc_max_pitch_right,acc_max_roll_right,acc_peak_x_right,acc_peak_y_right,acc_peak_z_right,acc_peak_xyz_right,acc_peak_xy_right,acc_peak_yz_right,acc_peak_zx_right,gyro_mean_x_right,gyro_mean_y_right,gyro_mean_z_right,gyro_mean_xyz_right,gyro_mean_xy_right,gyro_mean_yz_right,gyro_mean_zx_right,gyro_std_x_right,gyro_std_y_right,gyro_std_z_right,gyro_std_xyz_right,gyro_std_xy_right,gyro_std_yz_right,gyro_std_zx_right,gyro_auc_x_right,gyro_auc_y_right,gyro_auc_z_right,gyro_auc_xyz_right,gyro_auc_xy_right,gyro_auc_yz_right,gyro_auc_zx_right,gyro_max_x_right,gyro_max_y_right,gyro_max_z_right,gyro_max_xyz_right,gyro_max_xy_right,gyro_max_yz_right,gyro_max_zx_right,gyro_peak_x_right,gyro_peak_y_right,gyro_peak_z_right,gyro_peak_xyz_right,gyro_peak_xy_right,gyro_peak_yz_right,gyro_peak_zx_right,acc_mean_x_left,acc_mean_y_left,acc_mean_z_left,acc_mean_xyz_left,acc_mean_xy_left,acc_mean_yz_left,acc_mean_zx_left,acc_mean_pitch_left,acc_mean_roll_left,acc_std_x_left,acc_std_y_left,acc_std_z_left,acc_std_xyz_left,acc_std_xy_left,acc_std_yz_left,acc_std_zx_left,acc_std_pitch_left,acc_std_roll_left,acc_auc_x_left,acc_auc_y_left,acc_auc_z_left,acc_auc_xyz_left,acc_auc_xy_left,acc_auc_yz_left,acc_auc_zx_left,acc_auc_pitch_left,acc_auc_roll_left,acc_max_x_left,acc_max_y_left,acc_max_z_left,acc_max_xyz_left,acc_max_xy_left,acc_max_yz_left,acc_max_zx_left,acc_max_pitch_left,acc_max_roll_left,acc_peak_x_left,acc_peak_y_left,acc_peak_z_left,acc_peak_xyz_left,acc_peak_xy_left,acc_peak_yz_left,acc_peak_zx_left,gyro_mean_x_left,gyro_mean_y_left,gyro_mean_z_left,gyro_mean_xyz_left,gyro_mean_xy_left,gyro_mean_yz_left,gyro_mean_zx_left,gyro_std_x_left,gyro_std_y_left,gyro_std_z_left,gyro_std_xyz_left,gyro_std_xy_left,gyro_std_yz_left,gyro_std_zx_left,gyro_auc_x_left,gyro_auc_y_left,gyro_auc_z_left,gyro_auc_xyz_left,gyro_auc_xy_left,gyro_auc_yz_left,gyro_auc_zx_left,gyro_max_x_left,gyro_max_y_left,gyro_max_z_left,gyro_max_xyz_left,gyro_max_xy_left,gyro_max_yz_left,gyro_max_zx_left,gyro_peak_x_left,gyro_peak_y_left,gyro_peak_z_left,gyro_peak_xyz_left,gyro_peak_xy_left,gyro_peak_yz_left,gyro_peak_zx_left,class
-1.0937,-0.57759,0.061623,1.3951,1.3064,0.75524,1.2122,-54.619,-19.579,0.45692,0.3125,0.49713,0.35345,0.35041,0.32071,0.41969,27.307,24.381,-28.82,-15.314,1.6193,36.754,34.467,19.861,31.891,-1411.8,-512.81,-0.2002,-0.081299,0.81958,2.1695,2.1193,1.4632,2.1109,18.355,26.562,5,3,5,6,6,5,5,111.81,-181.1,87.115,288.47,262.16,250.46,153.52,71.468,229.19,50.168,167.45,181.18,177.15,62.768,1934.5,-3251.3,1473.4,5027.9,4585.7,4410.1,2601.7,207.01,52.012,142.68,530.8,522.91,508.72,242.54,1,3,2,1,1,3,1,0.8866,-0.38833,0.16533,0.98354,0.96905,0.4228,0.90246,66.599,-22.311,0.040431,0.044933,0.029894,0.034323,0.035963,0.047378,0.037584,2.7693,2.7271,12.447,-5.4385,2.305,13.801,13.6,5.9177,12.667,933.1,-311.73,0.945,-0.328,0.216,1.0662,1.0488,0.5179,0.95731,70.428,-18.818,4,3,3,5,5,2,5,-0.068542,-0.59704,-2.401,12.569,10.093,10.84,8.5254,6.3696,11.006,6.7983,7.0323,7.4685,7.1498,4.1189,2.684,-31.281,-50.732,282.56,224.56,241.73,195.98,11.28,31.037,9.512,34.276,32.409,32.982,15.148,3,6,4,7,7,7,4,1
-0.21863,-0.32477,0.93122,1.0942,0.49267,1.0256,1.0071,0.34206,-9.6845,0.29467,0.29755,0.23074,0.21218,0.28719,0.24412,0.19252,46.963,47.043,-5.7422,-8.0957,24.257,28.366,12.544,26.549,26.268,5.4723,-210.83,0.61206,0.11816,1.3892,1.526,1.1033,1.526,1.483,84.422,62.403,7,6,8,8,5,7,8,-17.374,-4.163,40.34,95.073,79.935,77.727,72.123,62.866,72.157,41.359,58.501,52.771,47.964,47.187,-366.71,-67.645,815.24,1889.2,1586.4,1557.2,1423.1,73.765,163.25,126.83,241.94,206.03,205.1,180.42,3,6,3,3,6,4,3,0.86983,-0.33983,0.29575,0.99125,0.93616,0.46184,0.92929,69.156,-16.514,0.11705,0.046667,0.12075,0.073165,0.10583,0.073974,0.083759,3.8515,5.2864,9.497,-3.737,3.288,10.854,10.229,5.0975,10.173,759.38,-182.23,1.017,-0.252,0.467,1.0918,1.0714,0.56953,1.0385,75.799,-6.2542,2,4,2,2,2,2,2,3.322,9.02,-2.1206,29.719,27.595,28.454,11.587,7.9582,36.279,10.901,26.111,26.167,26.142,7.672,87.561,245.37,-53.872,796.17,739.86,764.36,307.01,19.512,95.061,25.671,97.202,95.186,97.08,26.684,6,4,4,7,6,7,6,1
-1.0558,-0.43966,-0.67255,1.7335,1.4403,1.2562,1.4224,-15.278,0.29528,0.698,0.83697,0.86149,0.80053,0.62766,0.6907,0.86996,50.637,52.607,-29.247,-12.206,-18.482,47.61,39.724,34.264,39.119,-476.63,7.3603,0.24341,1.0156,0.59033,3.6449,3.114,2.9807,3.6158,86.421,83.593,7,2,8,5,5,6,9,-10.976,48.704,-16.379,249.49,231.77,211.3,140.17,147.38,226.05,88.527,136.34,139.17,122.9,97.275,-426.31,1130.2,-300.43,5790,5387.9,4962.3,3176.7,348.32,451.55,121.45,648.38,608.96,546.87,413.4,4,5,4,5,5,6,5,0.85775,-0.31067,0.3675,0.98501,0.91343,0.48196,0.93373,70.947,-12.824,0.039194,0.041921,0.028796,0.030367,0.031529,0.042485,0.034862,2.7137,2.8857,9.426,-3.4365,4.054,10.838,10.046,5.3231,10.267,779.24,-142.06,0.917,-0.248,0.414,1.0172,0.9548,0.5495,0.97628,75.062,-8.6798,2,1,2,3,3,2,2,3.036,-4.3775,2.129,17.417,16.785,13.891,10.034,13.142,22.795,7.2957,21.526,20.687,19.905,11.629,58.871,-107.59,47.896,380.21,366.05,301.3,222.76,37.317,33.293,23.232,89.47,86.401,81.316,43.958,4,5,5,6,6,6,5,1
-0.8908,-0.30747,-0.13414,1.4972,1.254,0.88152,1.3742,-41.6,1.373,1.0207,0.44474,0.96488,0.88828,0.72917,0.66432,0.92669,49.653,42.154,-25.865,-9.3199,-3.4553,43.662,36.696,25.569,40.02,-1197.7,17.129,1.5503,1.0242,3.7017,3.7901,3.4366,3.7175,3.7746,86.392,85.68,7,8,7,7,7,8,8,-17.271,-8.3962,5.2268,212.62,196.87,183.64,119.35,106.99,208.55,72.873,116.16,121.99,117.11,47.258,-394.49,-93.704,147.67,4890.9,4541.3,4215.8,2746.4,172.84,325.35,115.32,501.83,490.25,498.04,254.1,4,6,5,7,6,5,5,0.85608,-0.32767,0.37158,0.99309,0.91761,0.49642,0.93696,70.019,-13.675,0.058427,0.025734,0.071235,0.022992,0.046304,0.068199,0.030273,2.1825,1.3466,9.372,-3.6225,4.1685,10.92,10.058,5.5323,10.297,768.74,-149.51,0.936,-0.284,0.505,1.0273,0.97872,0.62427,0.981,73.411,-11.448,2,3,1,3,2,2,3,3.1618,0.51715,1.3596,46.75,43.261,31.168,37.774,37.25,29.604,19.52,19.696,18.197,15.837,17.297,68.082,1.768,29.026,1237.2,1144.3,826.79,1000.3,53.049,66.463,27.927,80.322,80.026,66.819,58.828,3,7,4,6,6,6,3,1
-0.58552,-0.67767,0.32249,1.2689,1.1611,0.85551,0.95898,-21.968,-35.921,0.7923,0.46668,0.56654,0.66197,0.52967,0.60356,0.67793,49.573,37.78,-16.942,-19.66,9.3051,36.934,33.772,24.894,27.984,-619.33,-1038.4,1.0208,0.1792,2.7439,4.1373,3.0965,3.2719,3.7338,80.702,81.665,6,6,6,5,5,5,7,-43.91,-143.19,-12.393,212.12,182.65,185.4,121.83,84.011,120.86,93.444,82.88,100.95,94.546,48.903,-867.24,-2948.1,-141.83,4300.6,3739.3,3752.7,2426.3,113.69,49.116,192.84,407.69,407.69,400.99,205.86,2,4,4,5,4,5,3,0.84042,-0.33717,0.3825,0.98947,0.90646,0.51219,0.92994,69.266,-14.085,0.071859,0.019362,0.0941,0.021822,0.060876,0.081622,0.026849,1.9097,1.6414,9.206,-3.7155,4.234,10.866,9.9378,5.6596,10.208,760.93,-155.13,0.925,-0.311,0.551,1.0195,0.97652,0.6533,0.9703,71.798,-11.429,2,3,2,3,2,2,2,-17.475,17.393,-8.867,38.468,35.615,28.711,28.267,21.702,25.706,13.182,21.857,21.036,19.289,14.547,-436.01,418.6,-228.05,897.63,834.22,670.89,655.24,30.671,75,22.683,90.479,87.59,78.355,52.113,4,6,4,5,5,5,3,1
-0.07512,-0.87029,0.26389,1.5164,1.3863,1.0754,1.0736,-1.3302,-33.62,1.2506,0.62049,0.51763,0.83543,0.86544,0.55837,0.84622,50.223,39.627,-1.8838,-24.308,7.4725,42.849,39.095,30.236,30.529,-28.365,-913.94,4.6191,-0.10327,1.3291,4.6584,4.6226,3.1351,4.6551,87.824,58.48,6,6,7,8,9,8,8,4.7729,116.65,20.563,188.45,138.31,184.17,106.41,32.78,162.4,121.32,139.91,147.17,141.97,65.9,98.125,2336.9,458.03,3662.3,2672.9,3581.2,2070.6,61.311,494.89,218.08,506.86,498.64,503.18,251.07,5,5,4,3,3,3,4,0.81527,-0.3596,0.41093,0.99171,0.89343,0.54948,0.92316,67.618,-15.189,0.11116,0.028861,0.11011,0.056545,0.092963,0.094556,0.066741,3.1643,3.0735,11.482,-5.051,5.6425,13.897,12.577,7.618,12.931,946.67,-216.63,1.034,-0.315,0.583,1.107,1.0809,0.71853,1.0613,73.331,-8.5125,3,3,3,4,3,3,3,-5.4599,0.56908,0.94254,62.048,57.606,46.557,44.013,43.866,51.013,26.006,34.899,33.095,31.908,24.723,-160.82,33.688,-1.3425,1445.5,1346.7,1085.7,1017.6,54.512,87.256,45.305,135.42,128.67,123.99,70.881,3,6,5,6,6,7,3,1
-0.65192,-0.55307,0.31725,1.1476,0.98507,0.76856,0.92418,-32.334,-33.867,0.62552,0.3222,0.46578,0.4588,0.49763,0.36122,0.51847,42.147,30.992,-18.693,-16.314,10.015,33.7,28.672,22.965,27.122,-958.36,-1007.2,0.37012,0.062012,1.0713,2.9748,2.9559,1.2567,2.8287,51.261,28.795,10,8,8,7,8,7,8,25.807,40.741,2.3279,135.8,130.28,109.5,75.243,78.236,119.1,38.719,70.661,70.858,70.072,49.122,657.74,878.74,4.8399,3134.4,3020.3,2509.2,1730.2,186.19,227.09,116.17,250.37,250.29,236.22,186.29,5,7,6,9,9,8,6,0.75642,-0.38675,0.52233,1.0073,0.85321,0.65096,0.92868,65.761,-13.82,0.13099,0.045842,0.097259,0.0828,0.11168,0.10047,0.08708,3.7238,3.7389,8.268,-4.2255,5.725,11.024,9.3277,7.1274,10.165,723.33,-153.08,0.972,-0.306,0.667,1.1285,1.019,0.80741,1.0486,73.271,-8.7657,2,2,4,3,2,4,3,21.669,-7.6468,10.504,67.758,60.037,45.276,57.463,55.032,38.227,33.563,38.878,35.987,25.187,36.445,540.06,-181.28,261,1762.3,1557.9,1172.5,1501,130.67,45.732,72.683,169.47,158.15,122.39,149.53,3,5,5,6,6,7,4,1
-0.46329,-0.56843,0.64347,1.2524,0.91118,0.97956,1.0558,-15.535,-30.076,0.68042,0.41187,0.49337,0.48551,0.57345,0.42676,0.44914,48.369,42.954,-13.141,-13.845,16.068,31.65,22.91,24.413,27.037,-474.24,-802.35,1.1265,-0.1062,1.8677,2.6567,1.9481,2.406,2.1811,76.702,64.971,5,7,6,7,7,7,6,-66.587,-129.24,36.954,177.81,164.64,157.19,94.13,60.597,119.8,47.375,103.32,108.36,98.012,51.906,-1309,-2640.6,625.34,3405.6,3206,3004.4,1754.1,32.5,116.95,119.53,343.11,340.72,329.26,180.23,3,4,3,4,4,4,4,0.88108,-0.187,0.40508,1.0026,0.9071,0.45431,0.98001,78.344,-2.6565,0.12082,0.10052,0.11374,0.071873,0.11,0.12264,0.075449,6.5078,5.1975,9.5555,-1.982,4.549,10.926,9.8342,5.0373,10.687,864.29,-23.263,1.142,-0.022,0.609,1.191,1.1733,0.67154,1.1603,88.629,4.2309,3,3,1,4,3,1,3,1.9919,-5.9528,-11.89,51.94,44.416,41.129,38.965,33.696,39.114,25.036,25.801,25.453,24.001,18.155,44.178,-108.48,-285.4,1187,1010.1,937.2,900.41,57.683,61.89,21.402,94.335,92.777,81.145,62.81,1,5,2,5,5,6,3,1
-0.53396,-0.72573,0.58618,1.39,1.1509,1.0575,1.0531,-16.241,-29.323,0.67944,0.56483,0.45486,0.4278,0.49949,0.5186,0.41365,50.127,41.09,-16.102,-19.806,16.619,38.711,31.953,29.253,29.557,-500.84,-777.33,1.2437,0.13135,1.8083,2.3771,2.2859,1.9337,2.2763,53.709,70.182,6,7,10,8,7,9,8,0.5199,47.753,-31.11,169.53,130.91,158.11,108.51,67.47,142.59,100.84,90.244,95.934,86.843,57.553,32.226,925.31,-604.38,3148.7,2418,2935.3,2033.3,169.25,332.24,134.39,355.79,354.41,332.68,223.26,2,4,2,5,5,5,4,0.922,-0.13758,0.31642,0.99031,0.9363,0.35007,0.97708,81.538,-2.9354,0.064866,0.084005,0.053817,0.039119,0.054116,0.078324,0.047099,5.3772,4.3812,10.142,-1.4715,3.455,10.872,10.288,3.8089,10.737,899.49,-30.351,1.011,-0.028,0.414,1.0488,1.0134,0.50489,1.0464,88.399,2.6018,2,1,2,2,2,1,2,2.272,-2.2741,1.2759,25.429,21.493,17.272,22.09,20.145,12.497,14.289,10.348,9.6454,7.5905,10.502,72.929,-70.974,51.34,663.9,565.16,446.86,575.95,32.012,18.415,27.744,45.236,43.007,31.961,40.175,2,6,2,3,3,6,3,1
-0.046898,-0.80584,0.59837,1.4224,1.2472,1.0552,1.1022,17.74,-32.225,1.0644,0.31596,0.39355,0.58415,0.54744,0.38122,0.63695,41.911,39.914,-1.2795,-24.764,18.339,44.094,38.743,32.458,34.281,526.64,-994.47,1.7144,-0.2229,1.3577,3.0965,2.8144,2.0137,2.6834,82.944,52.737,8,10,9,8,7,8,8,-22.236,28.222,-3.7773,156.37,117.39,141.02,113.01,66.028,116.48,112.48,80.157,69.96,79.469,64.942,-492.2,620.7,11.044,3566.7,2674.9,3202.9,2599.6,173.38,255.34,266.19,326.36,274.36,317.1,277.16,5,5,5,5,6,5,6,0.879,-0.23783,0.26233,0.96323,0.92039,0.38392,0.92288,75.189,-10.581,0.056588,0.14008,0.11133,0.052291,0.057235,0.089487,0.066401,8.5137,10.621,9.641,-2.519,2.979,10.541,10.048,4.1702,10.146,832.35,-109.24,0.982,-0.104,0.394,1.0284,1.0063,0.56829,1.0231,84.006,-1.1598,3,1,3,2,2,1,3,17.67,-19.682,36.441,59.499,38.172,51.777,51.905,24.781,25.262,32.932,27.538,21.491,26.742,24.47,442.87,-470.76,861.19,1382.3,891.06,1201.6,1203.1,51.585,17.744,80.183,98.079,88.186,85.192,82.032,2,6,4,3,3,3,4,1
