                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2449,                  2.918,                  3.872,                0.00033,                   0.01,                0.00017,                 0.0001,                 3.3741,                 3.8427,                 4.1762,             0.00064865,             0.00064865,             0.00064865
                      2,                 1.6853,                 1.5423,                 2.4113,                0.00033,                   0.01,                0.00017,                 0.0001,                 3.3649,                  3.764,                 4.2059,              0.0012893,              0.0012893,              0.0012893
                      3,                 1.2344,                 1.0085,                 1.6979,                 0.9021,                0.82934,                0.91508,                0.68712,                0.90789,                 1.1776,                 1.5819,              0.0019035,              0.0019035,              0.0019035
                      4,                 1.0334,                0.84751,                 1.4381,                0.92929,                0.92001,                0.97533,                0.76482,                0.85097,                 0.8643,                 1.3002,              0.0018812,              0.0018812,              0.0018812
                      5,                  1.005,                  0.787,                 1.3528,                0.99868,                      1,                  0.995,                0.78455,                0.83505,                0.66402,                 1.2623,              0.0018416,              0.0018416,              0.0018416
                      6,                0.93489,                0.70949,                 1.2825,                      1,                0.98909,                 0.9949,                 0.8091,                0.75883,                0.64061,                 1.1755,               0.001802,               0.001802,               0.001802
                      7,                0.84162,                0.66158,                 1.2067,                0.99871,                      1,                  0.995,                0.84615,                0.66951,                0.53221,                  1.087,              0.0017624,              0.0017624,              0.0017624
                      8,                0.78757,                0.60853,                 1.1606,                0.99864,                      1,                  0.995,                0.84936,                 0.6186,                0.52187,                  1.045,              0.0017228,              0.0017228,              0.0017228
                      9,                0.78108,                0.57596,                 1.1475,                0.99873,                      1,                  0.995,                0.83297,                0.67632,                0.47958,                 1.0651,              0.0016832,              0.0016832,              0.0016832
                     10,                0.76332,                0.56435,                 1.1343,                0.99918,                      1,                  0.995,                0.87409,                0.57075,                0.43005,                0.99793,              0.0016436,              0.0016436,              0.0016436
                     11,                0.69001,                0.51507,                 1.0771,                0.99927,                      1,                  0.995,                0.86568,                0.57588,                0.43011,                  0.998,               0.001604,               0.001604,               0.001604
                     12,                0.71358,                0.49591,                 1.0806,                0.99898,                      1,                  0.995,                0.86459,                0.58608,                0.41019,                0.99964,              0.0015644,              0.0015644,              0.0015644
                     13,                0.67692,                0.47223,                 1.0607,                0.99876,                      1,                  0.995,                0.88118,                0.52965,                0.37152,                0.96292,              0.0015248,              0.0015248,              0.0015248
                     14,                0.65931,                0.45714,                 1.0501,                0.99874,                      1,                  0.995,                0.87973,                0.52152,                0.36787,                0.95707,              0.0014852,              0.0014852,              0.0014852
                     15,                0.64543,                0.43464,                  1.041,                0.99832,                      1,                  0.995,                0.86968,                0.55562,                0.36136,                0.98349,              0.0014456,              0.0014456,              0.0014456
                     16,                 0.6498,                0.43138,                 1.0351,                0.99912,                      1,                  0.995,                 0.8862,                0.52255,                0.34559,                0.95174,               0.001406,               0.001406,               0.001406
                     17,                0.61937,                0.41191,                 1.0238,                0.99917,                      1,                  0.995,                0.88495,                 0.5122,                0.34587,                0.94717,              0.0013664,              0.0013664,              0.0013664
                     18,                0.59568,                0.39628,                 1.0079,                0.99938,                      1,                  0.995,                0.89203,                0.51676,                0.34215,                0.94912,              0.0013268,              0.0013268,              0.0013268
                     19,                0.58764,                0.38108,                0.99794,                0.99912,                      1,                  0.995,                0.91035,                0.46288,                0.30798,                0.90969,              0.0012872,              0.0012872,              0.0012872
                     20,                 0.6029,                 0.3771,                 1.0114,                0.99938,                      1,                  0.995,                0.89464,                0.48359,                0.30524,                0.92145,              0.0012476,              0.0012476,              0.0012476
                     21,                0.56751,                0.35051,                0.98655,                0.99934,                      1,                  0.995,                 0.8882,                0.51074,                 0.2994,                0.93426,               0.001208,               0.001208,               0.001208
                     22,                0.57067,                0.34871,                0.98507,                0.99939,                      1,                  0.995,                0.90249,                0.48337,                0.28845,                0.92038,              0.0011684,              0.0011684,              0.0011684
                     23,                0.57799,                0.34461,                0.98763,                0.99943,                      1,                  0.995,                 0.9078,                0.46393,                 0.2758,                0.91076,              0.0011288,              0.0011288,              0.0011288
                     24,                0.56359,                0.33904,                0.97907,                0.99932,                      1,                  0.995,                0.89709,                0.48531,                0.29941,                0.91307,              0.0010892,              0.0010892,              0.0010892
                     25,                0.56876,                0.34284,                0.97932,                 0.9986,                      1,                  0.995,                0.90545,                0.50285,                0.29235,                0.92709,              0.0010496,              0.0010496,              0.0010496
                     26,                0.55374,                0.32854,                0.97833,                0.99939,                      1,                  0.995,                0.91287,                0.45702,                0.26898,                0.90479,                0.00101,                0.00101,                0.00101
                     27,                0.54972,                 0.3258,                0.96917,                0.99934,                      1,                  0.995,                0.91373,                0.45511,                0.28711,                0.90428,              0.0009704,              0.0009704,              0.0009704
                     28,                0.53628,                 0.3211,                0.96851,                0.99938,                      1,                  0.995,                0.90992,                0.48426,                0.27365,                0.91999,              0.0009308,              0.0009308,              0.0009308
                     29,                0.54859,                0.32248,                  0.978,                0.99941,                      1,                  0.995,                0.91762,                0.44157,                0.26254,                0.89126,              0.0008912,              0.0008912,              0.0008912
                     30,                0.54905,                0.31539,                0.96745,                0.99938,                      1,                  0.995,                0.92727,                0.44309,                0.27554,                0.90067,              0.0008516,              0.0008516,              0.0008516
                     31,                0.53658,                0.30698,                0.96681,                0.99937,                      1,                  0.995,                0.91215,                0.43291,                0.25258,                0.89285,               0.000812,               0.000812,               0.000812
                     32,                0.51988,                0.29894,                0.95062,                0.99943,                      1,                  0.995,                0.92436,                0.44703,                0.26022,                0.89096,              0.0007724,              0.0007724,              0.0007724
