filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20180714_102730.jpg,720,960,Graffiti,244,290,349,326
IMG_20180714_102730.jpg,720,960,Graffiti,350,279,433,333
IMG_20180714_102730.jpg,720,960,Graffiti,593,248,680,289
IMG_20180714_102730.jpg,720,960,Graffiti,506,263,591,334
IMG_20180714_102730.jpg,720,960,Graffiti,595,270,696,320
IMG_20180714_102730.jpg,720,960,Graffiti,218,443,266,473
IMG_20180714_102730.jpg,720,960,Graffiti,139,477,222,515
IMG_20180714_102730.jpg,720,960,Graffiti,590,573,693,610
IMG_20180714_102730.jpg,720,960,Graffiti,533,450,634,499
IMG_20180714_102730.jpg,720,960,Graffiti,145,324,245,338
IMG_20180714_102730.jpg,720,960,Graffiti,8,309,59,350
IMG_20180714_102730.jpg,720,960,Graffiti,89,291,246,326
IMG_20180714_102644.jpg,720,960,Graffiti,293,161,340,186
IMG_20180714_102644.jpg,720,960,Graffiti,428,100,491,127
IMG_20180714_102644.jpg,720,960,Graffiti,404,138,489,174
IMG_20180714_102644.jpg,720,960,Graffiti,404,174,454,196
IMG_20180714_102644.jpg,720,960,Graffiti,406,198,466,212
IMG_20180714_102644.jpg,720,960,Graffiti,374,264,418,297
IMG_20180714_102644.jpg,720,960,Graffiti,457,157,501,219
IMG_20180714_102644.jpg,720,960,Graffiti,77,262,122,301
IMG_20180714_102644.jpg,720,960,Graffiti,20,181,46,202
IMG_20180714_102644.jpg,720,960,Graffiti,0,212,16,261
IMG_20180714_102644.jpg,720,960,Graffiti,21,211,39,269
IMG_20180714_102644.jpg,720,960,Graffiti,336,153,373,188
IMG_20180714_102644.jpg,720,960,Graffiti,371,161,393,226
IMG_20180714_102644.jpg,720,960,Graffiti,297,188,363,222
IMG_20180714_102644.jpg,720,960,Graffiti,510,139,548,209
IMG_20180714_102644.jpg,720,960,Graffiti,555,268,608,289
IMG_20180714_102644.jpg,720,960,Graffiti,673,167,685,229
IMG_20180714_102644.jpg,720,960,Graffiti,468,230,547,260
IMG_20180714_102644.jpg,720,960,Graffiti,134,243,165,295
IMG_20180714_102644.jpg,720,960,Graffiti,308,261,372,295
IMG_20180714_102644.jpg,720,960,Graffiti,423,270,541,293
IMG_20180714_102644.jpg,720,960,Graffiti,328,224,467,260
IMG_20180714_102644.jpg,720,960,Graffiti,127,193,168,223
IMG_20100101_030622.jpg,720,960,Graffiti,167,568,532,928
IMG_20180714_104443.jpg,720,960,Graffiti,376,395,547,468
IMG_20180714_104443.jpg,720,960,Graffiti,1,436,106,502
IMG_20180714_104443.jpg,720,960,Graffiti,221,460,335,517
IMG_20180714_104443.jpg,720,960,Graffiti,289,359,345,401
IMG_20180714_104443.jpg,720,960,Graffiti,573,419,639,492
IMG_20100101_022131.jpg,720,960,Graffiti,53,29,631,452
IMG_20180714_102623.jpg,720,960,Graffiti,349,256,473,308
IMG_20180714_102623.jpg,720,960,Graffiti,524,271,563,311
IMG_20180714_102623.jpg,720,960,Graffiti,257,273,299,294
IMG_20180714_102623.jpg,720,960,Graffiti,251,253,286,273
IMG_20180714_102623.jpg,720,960,Graffiti,0,241,69,261
IMG_20180714_103206.jpg,720,960,Graffiti,37,378,64,420
IMG_20180714_103206.jpg,720,960,Graffiti,116,333,238,394
IMG_20180714_103206.jpg,720,960,Graffiti,106,373,243,440
IMG_20180714_103206.jpg,720,960,Graffiti,116,421,213,473
IMG_20180714_103206.jpg,720,960,Graffiti,114,466,174,496
IMG_20180714_103206.jpg,720,960,Graffiti,208,421,471,485
IMG_20180714_103206.jpg,720,960,Graffiti,318,451,441,529
IMG_20180714_103206.jpg,720,960,Graffiti,203,489,396,543
IMG_20180714_103206.jpg,720,960,Graffiti,311,574,434,635
IMG_20180714_103206.jpg,720,960,Graffiti,528,589,616,665
