Date,Duplexing Type,Site Id,Sector,Sector id,Carrier Number DL (earfcn),DL Traffic (GB),UL Traffic (GB),Total Traffic (GB),Average User Throughput in DownLink (Mbps),Average DL PDCP Throughput (Mbit/s),Average UL PDCP Throughput (Mbit/s),Intra Frequency Handover Success Rate (%),Inter Frequency Handover Success Rate (%),Cell Availability,Scell Traffic Volume,Number of CSFB to GSM,Number of CSFB to WCDMA,DC_E_ERBS_EUTRANCELLFDD.pmPagDiscarded,Maximum Number of Users in a Cell,PcellVolume_DL_MAC,ScellVolume_DL_MAC,DL Payload(GB),CA capable DL UE Payload(GB),PS E-UTRAN RRC Setup successful Ratio (%),PS E-UTRAN RAB Setup Success Rate (%),DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeAuto,DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeMan,IRAT/Session Continuity to 2G,PS Drop Call Rate_NUM,PS Drop Call Rate_DENOM,DL User Throughput(Mbps)_DENOM,DL User Throughput(Mbps)_NUM,Average User Throughput in UpLink (Mbps)_NUM,Average User Throughput in UpLink (Mbps)_DENOM,CSSR RRC_DENOM,CSSR RRC_NUM,CSSR eRAB_NUM,CSSR eRAB DENOM,ERAB Drop Rate_DENOM,ERAB Drop Rate_NUM
2024-05-01,FDD,Site1,Site1_A,A,426.0,143.0945143,20.22051978,163.315034,14.05498624,21.71136543,2.954020271,96.98703026,98.75403784,100.0,4.20424575,1319.0,0.0,0.0,89.0,148.709692,4.20424575,143.0800704,15.93019974,99.97654824,99.95448339,0.0,0.0,158.0,80.0,93461.0,61972808.0,871026964.0,47279933.0,42200733.0,59697.0,59683.0,65880.0,65910.0,93375.0,80.0
2024-05-01,FDD,Site1,Site1_B,B,426.0,115.3841293,15.80399132,131.1881206,11.9113936,18.68419682,2.300034889,98.1265012,99.28571429,100.0,4.18462025,1546.0,0.0,0.0,79.0,116.677932,4.18462025,115.3691345,22.50184011,99.94136718,99.94183792,0.0,0.0,295.0,65.0,73092.0,61494094.0,732480358.0,39149458.0,57072276.0,57988.0,57954.0,56705.0,56738.0,72948.0,65.0
2024-05-01,FDD,Site1,Site1_C,C,426.0,126.3753603,19.13578463,145.5111449,7.947476367,18.59724754,2.961126805,99.10871976,99.74958264,100.0,2.810825125,934.0,0.0,0.0,71.0,130.0083985,2.810825125,126.3643744,16.1980145,99.83419072,99.8950021,0.0,0.0,37.0,90.0,63384.0,104710484.0,832184097.0,38467120.0,38495039.0,47042.0,46964.0,52327.0,52382.0,63327.0,90.0
2024-05-01,FDD,Site1,Site1_A,A,1399.0,92.7203337,11.62120116,104.3415349,16.45967855,16.64391124,1.731192661,98.22788518,98.52050892,100.0,4.56163525,3809.0,0.0,0.0,104.0,95.28082063,4.56163525,92.65945399,29.08008945,99.96735721,99.95623099,0.0,0.0,465.0,191.0,229882.0,32499337.0,534928640.0,31661166.0,54250065.0,251204.0,251122.0,262628.0,262743.0,229600.0,191.0
2024-05-01,FDD,Site1,Site1_B,B,1399.0,82.96906006,9.867506266,92.83656633,15.62579617,16.99640079,1.668879794,97.89975766,97.9498394,100.0,6.932995,3479.0,0.0,0.0,95.0,84.69248513,6.932995,82.92862165,16.92070341,99.97501249,99.94629098,0.0,0.0,613.0,162.0,184648.0,32810105.0,512684013.0,24002712.0,42403646.0,204102.0,204051.0,193532.0,193636.0,184256.0,162.0
2024-05-01,FDD,Site1,Site1_C,C,1399.0,109.5087529,16.68869007,126.197443,11.20938766,18.19850795,2.808553994,99.02183406,99.46312964,100.0,5.09984875,2247.0,0.0,0.0,95.0,114.3874716,5.09984875,109.4811462,14.66599226,99.97208766,99.96963071,0.0,0.0,123.0,86.0,170464.0,61104059.0,684939085.0,29238571.0,26558984.0,161219.0,161174.0,181049.0,181104.0,170395.0,86.0
2024-05-01,FDD,Site2,Site2_A,A,426.0,81.4934088,10.43776739,91.93117619,3.697779979,11.60555865,1.368678163,98.05413888,99.80119284,100.0,0.857198375,1545.0,0.0,0.0,71.0,80.446164,0.857198375,81.48027015,10.6930263,99.90183611,99.81374991,0.0,0.0,101.0,103.0,58600.0,166466652.0,615557053.0,36676441.0,117359049.0,44823.0,44779.0,42873.0,42953.0,58523.0,103.0
2024-05-01,FDD,Site2,Site2_B,B,426.0,65.43523645,8.846188784,74.28142524,7.327136347,12.0243357,1.682330792,97.93451523,99.16149068,100.0,2.172193625,467.0,0.0,0.0,53.0,64.49333625,2.172193625,65.42646015,11.49547732,99.83409778,99.88012287,0.0,0.0,67.0,54.0,35939.0,63944949.0,468533360.0,21999279.0,31176400.0,30741.0,30690.0,26662.0,26694.0,35896.0,54.0
2024-05-01,FDD,Site2,Site2_C,C,426.0,77.30927813,10.45118868,87.76046681,5.86123782,12.40074913,1.58151818,97.16499544,99.74019226,100.0,1.476828125,908.0,0.0,0.0,52.0,77.72406338,1.476828125,77.29569697,10.85311711,99.86757846,99.87210555,0.0,0.0,231.0,117.0,57807.0,95716686.0,561018260.0,29063370.0,57599348.0,50596.0,50529.0,44511.0,44568.0,57695.0,117.0
2024-05-01,FDD,Site2,Site2_A,A,426.0,16.19975066,2.568234563,18.76798522,8.82299825,8.097954983,1.698524336,99.29381554,100.0,100.0,0.40240375,307.0,0.0,0.0,20.0,16.847498,0.40240375,16.19629514,1.897575498,99.93624143,99.97415019,0.0,0.0,49.0,10.0,15970.0,12850743.0,113382083.0,5195382.0,4078831.0,18821.0,18809.0,15470.0,15474.0,15950.0,10.0
